temp,treatment,infection_status,ID,total_spvs,death,secondary
27,1,Infected,420,0,48,FALSE
27,0,Uninfected,401,0,2,FALSE
27,0,Uninfected,458,0,10,FALSE
27,0,Uninfected,404,0,11,FALSE
27,0,Uninfected,455,0,11,FALSE
27,0,Uninfected,410,0,12,FALSE
27,0,Uninfected,413,0,12,FALSE
27,0,Uninfected,428,0,12,FALSE
27,0,Uninfected,422,0,13,FALSE
27,0,Uninfected,452,0,13,FALSE
27,0,Uninfected,443,0,14,FALSE
27,0,Uninfected,467,0,14,FALSE
27,0,Uninfected,440,0,17,FALSE
27,0,Uninfected,419,0,19,FALSE
27,0,Uninfected,407,0,21,FALSE
27,0,Uninfected,425,0,26,FALSE
27,0,Uninfected,449,0,28,FALSE
27,0,Uninfected,437,0,30,FALSE
27,0,Uninfected,431,0,31,FALSE
27,0,Uninfected,461,0,33,FALSE
27,0,Uninfected,446,0,34,FALSE
27,0,Uninfected,464,0,40,FALSE
27,0,Uninfected,470,0,47,FALSE
30,1,Infected,517,0,2,FALSE
30,1,Infected,548,0,2,FALSE
30,1,Infected,566,5,4,FALSE
30,1,Infected,520,0,5,FALSE
30,1,Infected,524,0,7,FALSE
30,1,Infected,542,0,7,FALSE
30,1,Infected,503,10,8,FALSE
30,1,Infected,562,2,8,FALSE
30,1,Infected,521,0,8,FALSE
30,1,Infected,523,0,8,FALSE
30,1,Infected,569,0,8,FALSE
30,1,Infected,532,0,9,FALSE
30,1,Infected,554,0,9,FALSE
30,1,Infected,539,0,10,FALSE
30,1,Infected,527,0,10,FALSE
30,1,Infected,545,5,11,FALSE
30,1,Infected,571,1,11,FALSE
30,1,Infected,502,0,12,FALSE
30,1,Infected,572,1,13,FALSE
30,1,Infected,553,0,13,FALSE
30,1,Infected,560,2,14,FALSE
30,1,Infected,544,0,15,FALSE
30,1,Infected,509,0,15,FALSE
30,1,Infected,535,0,15,FALSE
30,1,Infected,536,0,15,FALSE
30,1,Infected,538,0,15,FALSE
30,1,Infected,563,0,15,FALSE
30,1,Infected,559,1,16,FALSE
30,1,Infected,505,0,16,FALSE
30,1,Infected,529,0,16,FALSE
30,1,Infected,533,0,20,FALSE
30,1,Infected,506,0,22,FALSE
30,1,Infected,565,18,23,FALSE
30,1,Infected,515,0,23,FALSE
